496/12030, t=0.266069s
497/12030, t=0.266103s
498/12030, t=0.266136s
499/12030, t=0.266169s
500/12030, t=0.266203s
501/12030, t=0.266236s
502/12030, t=0.266269s
503/12030, t=0.266303s
504/12030, t=0.266336s
505/12030, t=0.266369s
506/12030, t=0.266403s
507/12030, t=0.266436s
508/12030, t=0.266469s
509/12030, t=0.266503s
510/12030, t=0.266536s
511/12030, t=0.266569s
512/12030, t=0.266603s
513/12030, t=0.266636s
514/12030, t=0.266669s
515/12030, t=0.266703s
516/12030, t=0.266736s
517/12030, t=0.266769s
518/12030, t=0.266803s
519/12030, t=0.266836s
520/12030, t=0.266869s
521/12030, t=0.266903s
522/12030, t=0.266936s
523/12030, t=0.266969s
524/12030, t=0.267003s
525/12030, t=0.267036s
526/12030, t=0.267069s
527/12030, t=0.267103s
528/12030, t=0.267136s
529/12030, t=0.267169s
530/12030, t=0.267203s
531/12030, t=0.267236s
532/12030, t=0.267269s
533/12030, t=0.267303s
534/12030, t=0.267336s
535/12030, t=0.267369s
536/12030, t=0.267403s
537/12030, t=0.267436s
538/12030, t=0.267469s
539/12030, t=0.267503s
540/12030, t=0.267536s
541/12030, t=0.267569s
542/12030, t=0.267603s
543/12030, t=0.267636s
544/12030, t=0.267669s
545/12030, t=0.267703s
546/12030, t=0.267736s
547/12030, t=0.267769s
548/12030, t=0.267803s
549/12030, t=0.267836s
550/12030, t=0.267869s
551/12030, t=0.267903s
552/12030, t=0.267936s
553/12030, t=0.267969s
554/12030, t=0.268003s
555/12030, t=0.268036s
556/12030, t=0.268069s
557/12030, t=0.268103s
558/12030, t=0.268136s
559/12030, t=0.268169s
560/12030, t=0.268203s
561/12030, t=0.268236s
562/12030, t=0.268269s
563/12030, t=0.268303s
564/12030, t=0.268336s
565/12030, t=0.268369s
566/12030, t=0.268403s
567/12030, t=0.268436s
568/12030, t=0.268469s
569/12030, t=0.268503s
570/12030, t=0.268536s
571/12030, t=0.268569s
572/12030, t=0.268603s
573/12030, t=0.268636s
574/12030, t=0.268669s
575/12030, t=0.268703s
576/12030, t=0.268736s
577/12030, t=0.268769s
578/12030, t=0.268803s
579/12030, t=0.268836s
580/12030, t=0.268869s
581/12030, t=0.268903s
582/12030, t=0.268936s
583/12030, t=0.268969s
584/12030, t=0.269003s
585/12030, t=0.269036s
586/12030, t=0.269069s
587/12030, t=0.269103s
588/12030, t=0.269136s
589/12030, t=0.269169s
590/12030, t=0.269203s
591/12030, t=0.269236s
592/12030, t=0.269269s
593/12030, t=0.269303s
594/12030, t=0.269336s
595/12030, t=0.269369s
596/12030, t=0.269403s
597/12030, t=0.269436s
598/12030, t=0.269469s
599/12030, t=0.269503s
600/12030, t=0.269536s
601/12030, t=0.269569s
602/12030, t=0.269603s
603/12030, t=0.269636s
604/12030, t=0.269669s
605/12030, t=0.269703s
606/12030, t=0.269736s
607/12030, t=0.269769s
608/12030, t=0.269803s
609/12030, t=0.269836s
610/12030, t=0.269869s
611/12030, t=0.269903s
612/12030, t=0.269936s
613/12030, t=0.269969s
614/12030, t=0.270003s
615/12030, t=0.270036s
616/12030, t=0.270069s
617/12030, t=0.270103s
618/12030, t=0.270136s
619/12030, t=0.270169s
620/12030, t=0.270203s
621/12030, t=0.270236s
622/12030, t=0.270269s
623/12030, t=0.270303s
624/12030, t=0.270336s
625/12030, t=0.270369s
626/12030, t=0.270403s
627/12030, t=0.270436s
628/12030, t=0.270469s
629/12030, t=0.270503s
630/12030, t=0.270536s
631/12030, t=0.270569s
632/12030, t=0.270603s
633/12030, t=0.270636s
634/12030, t=0.270669s
635/12030, t=0.270703s
636/12030, t=0.270736s
637/12030, t=0.270769s
638/12030, t=0.270803s
639/12030, t=0.270836s
640/12030, t=0.270869s
641/12030, t=0.270903s
642/12030, t=0.270936s
643/12030, t=0.270969s
644/12030, t=0.271003s
645/12030, t=0.271036s
646/12030, t=0.271069s
647/12030, t=0.271103s
648/12030, t=0.271136s
649/12030, t=0.271169s
650/12030, t=0.271203s
651/12030, t=0.271236s
652/12030, t=0.271269s
653/12030, t=0.271303s
654/12030, t=0.271336s
655/12030, t=0.271369s
656/12030, t=0.271403s
657/12030, t=0.271436s
658/12030, t=0.271469s
659/12030, t=0.271503s
660/12030, t=0.271536s
661/12030, t=0.271569s
662/12030, t=0.271603s
663/12030, t=0.271636s
664/12030, t=0.271669s
665/12030, t=0.271703s
666/12030, t=0.271736s
667/12030, t=0.271769s
668/12030, t=0.271803s
669/12030, t=0.271836s
670/12030, t=0.271869s
671/12030, t=0.271903s
672/12030, t=0.271936s
673/12030, t=0.271969s
674/12030, t=0.272003s
675/12030, t=0.272036s
676/12030, t=0.272069s
677/12030, t=0.272103s
678/12030, t=0.272136s
679/12030, t=0.272169s
680/12030, t=0.272203s
681/12030, t=0.272236s
682/12030, t=0.272269s
683/12030, t=0.272303s
684/12030, t=0.272336s
685/12030, t=0.272369s
686/12030, t=0.272403s
687/12030, t=0.272436s
688/12030, t=0.272469s
689/12030, t=0.272503s
690/12030, t=0.272536s
691/12030, t=0.272569s
692/12030, t=0.272603s
693/12030, t=0.272636s
694/12030, t=0.272669s
695/12030, t=0.272703s
696/12030, t=0.272736s
697/12030, t=0.272769s
698/12030, t=0.272803s
699/12030, t=0.272836s
700/12030, t=0.272869s
701/12030, t=0.272903s
702/12030, t=0.272936s
703/12030, t=0.272969s
704/12030, t=0.273003s
705/12030, t=0.273036s
