0/6090, t=0.200036s
1070/6090, t=0.384203s
1071/6090, t=0.384236s
1072/6090, t=0.384269s
1073/6090, t=0.384303s
1074/6090, t=0.384336s
1075/6090, t=0.384369s
1076/6090, t=0.384403s
1077/6090, t=0.384436s
1078/6090, t=0.384469s
1079/6090, t=0.384503s
1080/6090, t=0.384536s
1081/6090, t=0.384569s
1082/6090, t=0.384603s
1083/6090, t=0.384636s
1084/6090, t=0.384669s
1085/6090, t=0.384703s
1086/6090, t=0.384736s
1087/6090, t=0.384769s
1088/6090, t=0.384803s
1089/6090, t=0.384836s
1090/6090, t=0.384869s
1091/6090, t=0.384903s
1092/6090, t=0.384936s
1093/6090, t=0.384969s
1094/6090, t=0.385003s
1095/6090, t=0.385036s
1096/6090, t=0.385069s
1097/6090, t=0.385103s
1098/6090, t=0.385136s
1099/6090, t=0.385169s
1100/6090, t=0.385203s
1101/6090, t=0.385236s
1102/6090, t=0.385269s
1103/6090, t=0.385303s
1104/6090, t=0.385336s
1105/6090, t=0.385369s
1106/6090, t=0.385403s
1107/6090, t=0.385436s
1108/6090, t=0.385469s
1109/6090, t=0.385503s
1110/6090, t=0.385536s
1111/6090, t=0.385569s
1112/6090, t=0.385603s
1113/6090, t=0.385636s
1114/6090, t=0.385669s
1115/6090, t=0.385703s
1116/6090, t=0.385736s
1117/6090, t=0.385769s
1118/6090, t=0.385803s
1119/6090, t=0.385836s
1120/6090, t=0.385869s
1121/6090, t=0.385903s
1122/6090, t=0.385936s
1123/6090, t=0.385969s
1124/6090, t=0.386003s
1125/6090, t=0.386036s
1126/6090, t=0.386069s
1127/6090, t=0.386103s
1128/6090, t=0.386136s
1129/6090, t=0.386169s
1130/6090, t=0.386203s
1131/6090, t=0.386236s
1132/6090, t=0.386269s
1133/6090, t=0.386303s
1134/6090, t=0.386336s
1135/6090, t=0.386369s
1136/6090, t=0.386403s
1137/6090, t=0.386436s
1138/6090, t=0.386469s
1139/6090, t=0.386503s
1140/6090, t=0.386536s
1141/6090, t=0.386569s
1142/6090, t=0.386603s
1143/6090, t=0.386636s
1144/6090, t=0.386669s
1145/6090, t=0.386703s
1146/6090, t=0.386736s
1147/6090, t=0.386769s
1148/6090, t=0.386803s
1149/6090, t=0.386836s
1150/6090, t=0.386869s
1151/6090, t=0.386903s
1152/6090, t=0.386936s
1153/6090, t=0.386969s
1154/6090, t=0.387003s
1155/6090, t=0.387036s
1156/6090, t=0.387069s
1157/6090, t=0.387103s
1158/6090, t=0.387136s
1159/6090, t=0.387169s
1160/6090, t=0.387203s
1161/6090, t=0.387236s
1162/6090, t=0.387269s
1163/6090, t=0.387303s
1164/6090, t=0.387336s
1165/6090, t=0.387369s
1166/6090, t=0.387403s
1167/6090, t=0.387436s
1168/6090, t=0.387469s
1169/6090, t=0.387503s
1170/6090, t=0.387536s
1171/6090, t=0.387569s
1172/6090, t=0.387603s
1173/6090, t=0.387636s
1174/6090, t=0.387669s
1175/6090, t=0.387703s
1176/6090, t=0.387736s
1177/6090, t=0.387769s
1178/6090, t=0.387803s
1179/6090, t=0.387836s
1180/6090, t=0.387869s
1181/6090, t=0.387903s
1182/6090, t=0.387936s
1183/6090, t=0.387969s
1184/6090, t=0.388003s
1185/6090, t=0.388036s
1186/6090, t=0.388069s
1187/6090, t=0.388103s
1188/6090, t=0.388136s
1189/6090, t=0.388169s
1190/6090, t=0.388203s
1191/6090, t=0.388236s
1192/6090, t=0.388269s
1193/6090, t=0.388303s
1194/6090, t=0.388336s
1195/6090, t=0.388369s
1196/6090, t=0.388403s
1197/6090, t=0.388436s
1198/6090, t=0.388469s
1199/6090, t=0.388503s
1200/6090, t=0.388536s
1201/6090, t=0.388569s
1202/6090, t=0.388603s
1203/6090, t=0.388636s
1204/6090, t=0.388669s
1205/6090, t=0.388703s
1206/6090, t=0.388736s
1207/6090, t=0.388769s
1208/6090, t=0.388803s
1209/6090, t=0.388836s
1210/6090, t=0.388869s
1211/6090, t=0.388903s
1212/6090, t=0.388936s
1213/6090, t=0.388969s
1214/6090, t=0.389003s
1215/6090, t=0.389036s
1216/6090, t=0.389069s
1217/6090, t=0.389103s
1218/6090, t=0.389136s
1219/6090, t=0.389169s
1220/6090, t=0.389203s
1221/6090, t=0.389236s
1222/6090, t=0.389269s
1223/6090, t=0.389303s
1224/6090, t=0.389336s
1225/6090, t=0.389369s
1226/6090, t=0.389403s
1227/6090, t=0.389436s
1228/6090, t=0.389469s
1229/6090, t=0.389503s
1230/6090, t=0.389536s
1231/6090, t=0.389569s
1232/6090, t=0.389603s
1233/6090, t=0.389636s
1234/6090, t=0.389669s
1235/6090, t=0.389703s
1236/6090, t=0.389736s
1237/6090, t=0.389769s
1238/6090, t=0.389803s
1239/6090, t=0.389836s
1240/6090, t=0.389869s
1241/6090, t=0.389903s
1242/6090, t=0.389936s
1243/6090, t=0.389969s
1244/6090, t=0.390003s
1245/6090, t=0.390036s
1246/6090, t=0.390069s
1247/6090, t=0.390103s
1248/6090, t=0.390136s
1249/6090, t=0.390169s
1250/6090, t=0.390203s
1251/6090, t=0.390236s
1252/6090, t=0.390269s
1253/6090, t=0.390303s
1254/6090, t=0.390336s
1255/6090, t=0.390369s
1256/6090, t=0.390403s
1257/6090, t=0.390436s
1258/6090, t=0.390469s
1259/6090, t=0.390503s
1260/6090, t=0.390536s
1261/6090, t=0.390569s
1262/6090, t=0.390603s
1263/6090, t=0.390636s
1264/6090, t=0.390669s
1265/6090, t=0.390703s
1266/6090, t=0.390736s
1267/6090, t=0.390769s
1268/6090, t=0.390803s
1269/6090, t=0.390836s
1270/6090, t=0.390869s
1271/6090, t=0.390903s
1272/6090, t=0.390936s
1273/6090, t=0.390969s
1274/6090, t=0.391003s
1275/6090, t=0.391036s
1276/6090, t=0.391069s
1277/6090, t=0.391103s
1278/6090, t=0.391136s
1279/6090, t=0.391169s
1280/6090, t=0.391203s
1281/6090, t=0.391236s
1282/6090, t=0.391269s
1283/6090, t=0.391303s
1284/6090, t=0.391336s
1285/6090, t=0.391369s
1286/6090, t=0.391403s
1287/6090, t=0.391436s
1288/6090, t=0.391469s
1289/6090, t=0.391503s
1290/6090, t=0.391536s
1291/6090, t=0.391569s
1292/6090, t=0.391603s
1293/6090, t=0.391636s
1294/6090, t=0.391669s
1295/6090, t=0.391703s
1296/6090, t=0.391736s
1297/6090, t=0.391769s
1298/6090, t=0.391803s
1299/6090, t=0.391836s
1300/6090, t=0.391869s
1301/6090, t=0.391903s
1302/6090, t=0.391936s
1303/6090, t=0.391969s
1304/6090, t=0.392003s
1305/6090, t=0.392036s
1306/6090, t=0.392069s
1307/6090, t=0.392103s
1308/6090, t=0.392136s
1309/6090, t=0.392169s
1310/6090, t=0.392203s
1311/6090, t=0.392236s
1312/6090, t=0.392269s
1313/6090, t=0.392303s
1314/6090, t=0.392336s
1315/6090, t=0.392369s
1316/6090, t=0.392403s
1317/6090, t=0.392436s
1318/6090, t=0.392469s
1319/6090, t=0.392503s
1320/6090, t=0.392536s
1321/6090, t=0.392569s
1322/6090, t=0.392603s
1323/6090, t=0.392636s
1324/6090, t=0.392669s
1325/6090, t=0.392703s
1326/6090, t=0.392736s
1327/6090, t=0.392769s
1328/6090, t=0.392803s
1329/6090, t=0.392836s
1330/6090, t=0.392869s
1331/6090, t=0.392903s
1332/6090, t=0.392936s
1333/6090, t=0.392969s
1334/6090, t=0.393003s
1335/6090, t=0.393036s
1336/6090, t=0.393069s
1337/6090, t=0.393103s
1338/6090, t=0.393136s
1339/6090, t=0.393169s
1340/6090, t=0.393203s
1341/6090, t=0.393236s
1342/6090, t=0.393269s
1343/6090, t=0.393303s
1344/6090, t=0.393336s
1345/6090, t=0.393369s
1346/6090, t=0.393403s
1347/6090, t=0.393436s
1348/6090, t=0.393469s
1349/6090, t=0.393503s
1350/6090, t=0.393536s
1351/6090, t=0.393569s
1352/6090, t=0.393603s
1353/6090, t=0.393636s
1354/6090, t=0.393669s
1355/6090, t=0.393703s
1356/6090, t=0.393736s
1357/6090, t=0.393769s
1358/6090, t=0.393803s
1359/6090, t=0.393836s
1360/6090, t=0.393869s
1361/6090, t=0.393903s
1362/6090, t=0.393936s
1363/6090, t=0.393969s
1364/6090, t=0.394003s
1365/6090, t=0.394036s
1366/6090, t=0.394069s
1367/6090, t=0.394103s
1368/6090, t=0.394136s
1369/6090, t=0.394169s
1370/6090, t=0.394203s
1371/6090, t=0.394236s
1372/6090, t=0.394269s
1373/6090, t=0.394303s
1374/6090, t=0.394336s
1375/6090, t=0.394369s
1376/6090, t=0.394403s
1377/6090, t=0.394436s
1378/6090, t=0.394469s
1379/6090, t=0.394503s
1380/6090, t=0.394536s
1381/6090, t=0.394569s
1382/6090, t=0.394603s
1383/6090, t=0.394636s
1384/6090, t=0.394669s
1385/6090, t=0.394703s
1386/6090, t=0.394736s
1387/6090, t=0.394769s
1388/6090, t=0.394803s
1389/6090, t=0.394836s
1390/6090, t=0.394869s
1391/6090, t=0.394903s
1392/6090, t=0.394936s
1393/6090, t=0.394969s
1394/6090, t=0.395003s
1395/6090, t=0.395036s
1396/6090, t=0.395069s
1397/6090, t=0.395103s
1398/6090, t=0.395136s
1399/6090, t=0.395169s
1400/6090, t=0.395203s
1401/6090, t=0.395236s
1402/6090, t=0.395269s
1403/6090, t=0.395303s
1404/6090, t=0.395336s
1405/6090, t=0.395369s
1406/6090, t=0.395403s
1407/6090, t=0.395436s
1408/6090, t=0.395469s
1409/6090, t=0.395503s
1410/6090, t=0.395536s
1411/6090, t=0.395569s
1412/6090, t=0.395603s
1413/6090, t=0.395636s
1414/6090, t=0.395669s
1415/6090, t=0.395703s
1416/6090, t=0.395736s
1417/6090, t=0.395769s
1418/6090, t=0.395803s
1419/6090, t=0.395836s
1420/6090, t=0.395869s
1421/6090, t=0.395903s
1422/6090, t=0.395936s
1423/6090, t=0.395969s
1424/6090, t=0.396003s
1425/6090, t=0.396036s
1426/6090, t=0.396069s
1427/6090, t=0.396103s
1428/6090, t=0.396136s
1429/6090, t=0.396169s
1430/6090, t=0.396203s
1431/6090, t=0.396236s
1432/6090, t=0.396269s
1433/6090, t=0.396303s
1434/6090, t=0.396336s
1435/6090, t=0.396369s
1436/6090, t=0.396403s
1437/6090, t=0.396436s
1438/6090, t=0.396469s
1439/6090, t=0.396503s
1440/6090, t=0.396536s
1441/6090, t=0.396569s
1442/6090, t=0.396603s
1443/6090, t=0.396636s
1444/6090, t=0.396669s
1445/6090, t=0.396703s
1446/6090, t=0.396736s
1447/6090, t=0.396769s
1448/6090, t=0.396803s
1449/6090, t=0.396836s
1450/6090, t=0.396869s
1451/6090, t=0.396903s
1452/6090, t=0.396936s
1453/6090, t=0.396969s
1454/6090, t=0.397003s
1455/6090, t=0.397036s
1456/6090, t=0.397069s
1457/6090, t=0.397103s
1458/6090, t=0.397136s
1459/6090, t=0.397169s
1460/6090, t=0.397203s
1461/6090, t=0.397236s
1462/6090, t=0.397269s
1463/6090, t=0.397303s
1464/6090, t=0.397336s
1465/6090, t=0.397369s
1466/6090, t=0.397403s
1467/6090, t=0.397436s
1468/6090, t=0.397469s
1469/6090, t=0.397503s
1470/6090, t=0.397536s
1471/6090, t=0.397569s
1472/6090, t=0.397603s
1473/6090, t=0.397636s
1474/6090, t=0.397669s
1475/6090, t=0.397703s
1476/6090, t=0.397736s
1477/6090, t=0.397769s
1478/6090, t=0.397803s
1479/6090, t=0.397836s
1480/6090, t=0.397869s
1481/6090, t=0.397903s
1482/6090, t=0.397936s
1483/6090, t=0.397969s
1484/6090, t=0.398003s
1485/6090, t=0.398036s
1486/6090, t=0.398069s
1487/6090, t=0.398103s
1488/6090, t=0.398136s
1489/6090, t=0.398169s
1490/6090, t=0.398203s
1491/6090, t=0.398236s
1492/6090, t=0.398269s
1493/6090, t=0.398303s
1494/6090, t=0.398336s
1495/6090, t=0.398369s
1496/6090, t=0.398403s
1497/6090, t=0.398436s
1498/6090, t=0.398469s
1499/6090, t=0.398503s
1500/6090, t=0.398536s
1501/6090, t=0.398569s
1502/6090, t=0.398603s
1503/6090, t=0.398636s
1504/6090, t=0.398669s
1505/6090, t=0.398703s
1506/6090, t=0.398736s
1507/6090, t=0.398769s
1508/6090, t=0.398803s
1509/6090, t=0.398836s
1510/6090, t=0.398869s
1511/6090, t=0.398903s
1512/6090, t=0.398936s
1513/6090, t=0.398969s
1514/6090, t=0.399003s
1515/6090, t=0.399036s
1516/6090, t=0.399069s
1517/6090, t=0.399103s
1518/6090, t=0.399136s
1519/6090, t=0.399169s
1520/6090, t=0.399203s
1521/6090, t=0.399236s
1522/6090, t=0.399269s
1523/6090, t=0.399303s
1524/6090, t=0.399336s
1525/6090, t=0.399369s
1526/6090, t=0.399403s
1527/6090, t=0.399436s
1528/6090, t=0.399469s
1529/6090, t=0.399503s
1530/6090, t=0.399536s
1531/6090, t=0.399569s
1532/6090, t=0.399603s
1533/6090, t=0.399636s
1534/6090, t=0.399669s
1535/6090, t=0.399703s
1536/6090, t=0.399736s
1537/6090, t=0.399769s
1538/6090, t=0.399803s
1539/6090, t=0.399836s
1540/6090, t=0.399869s
1541/6090, t=0.399903s
1542/6090, t=0.399936s
1543/6090, t=0.399969s
1544/6090, t=0.400003s
1545/6090, t=0.400036s
1546/6090, t=0.400069s
1547/6090, t=0.400103s
1548/6090, t=0.400136s
1549/6090, t=0.400169s
1550/6090, t=0.400203s
1551/6090, t=0.400236s
1552/6090, t=0.400269s
1553/6090, t=0.400303s
1554/6090, t=0.400336s
1555/6090, t=0.400369s
1556/6090, t=0.400403s
1557/6090, t=0.400436s
1558/6090, t=0.400469s
1559/6090, t=0.400503s
1560/6090, t=0.400536s
1561/6090, t=0.400569s
1562/6090, t=0.400603s
1563/6090, t=0.400636s
1564/6090, t=0.400669s
1565/6090, t=0.400703s
1566/6090, t=0.400736s
1567/6090, t=0.400769s
1568/6090, t=0.400803s
1569/6090, t=0.400836s
1570/6090, t=0.400869s
1571/6090, t=0.400903s
1572/6090, t=0.400936s
1573/6090, t=0.400969s
1574/6090, t=0.401003s
1575/6090, t=0.401036s
1576/6090, t=0.401069s
1577/6090, t=0.401103s
1578/6090, t=0.401136s
1579/6090, t=0.401169s
1580/6090, t=0.401203s
1581/6090, t=0.401236s
1582/6090, t=0.401269s
1583/6090, t=0.401303s
1584/6090, t=0.401336s
1585/6090, t=0.401369s
1586/6090, t=0.401403s
1587/6090, t=0.401436s
1588/6090, t=0.401469s
1589/6090, t=0.401503s
1590/6090, t=0.401536s
1591/6090, t=0.401569s
1592/6090, t=0.401603s
1593/6090, t=0.401636s
1594/6090, t=0.401669s
1595/6090, t=0.401703s
1596/6090, t=0.401736s
1597/6090, t=0.401769s
1598/6090, t=0.401803s
1599/6090, t=0.401836s
1600/6090, t=0.401869s
1601/6090, t=0.401903s
1602/6090, t=0.401936s
1603/6090, t=0.401969s
1604/6090, t=0.402003s
1605/6090, t=0.402036s
1606/6090, t=0.402069s
1607/6090, t=0.402103s
1608/6090, t=0.402136s
1609/6090, t=0.402169s
1610/6090, t=0.402203s
1611/6090, t=0.402236s
1612/6090, t=0.402269s
1613/6090, t=0.402303s
1614/6090, t=0.402336s
1615/6090, t=0.402369s
1616/6090, t=0.402403s
1617/6090, t=0.402436s
1618/6090, t=0.402469s
1619/6090, t=0.402503s
1620/6090, t=0.402536s
1621/6090, t=0.402569s
1622/6090, t=0.402603s
1623/6090, t=0.402636s
1624/6090, t=0.402669s
1625/6090, t=0.402703s
1626/6090, t=0.402736s
1627/6090, t=0.402769s
1628/6090, t=0.402803s
1629/6090, t=0.402836s
1630/6090, t=0.402869s
1631/6090, t=0.402903s
1632/6090, t=0.402936s
1633/6090, t=0.402969s
1634/6090, t=0.403003s
1635/6090, t=0.403036s
1636/6090, t=0.403069s
1637/6090, t=0.403103s
1638/6090, t=0.403136s
1639/6090, t=0.403169s
1640/6090, t=0.403203s
1641/6090, t=0.403236s
1642/6090, t=0.403269s
1643/6090, t=0.403303s
1644/6090, t=0.403336s
1645/6090, t=0.403369s
1646/6090, t=0.403403s
1647/6090, t=0.403436s
1648/6090, t=0.403469s
1649/6090, t=0.403503s
1650/6090, t=0.403536s
1651/6090, t=0.403569s
1652/6090, t=0.403603s
1653/6090, t=0.403636s
1654/6090, t=0.403669s
1655/6090, t=0.403703s
1656/6090, t=0.403736s
1657/6090, t=0.403769s
1658/6090, t=0.403803s
1659/6090, t=0.403836s
1660/6090, t=0.403869s
1661/6090, t=0.403903s
1662/6090, t=0.403936s
1663/6090, t=0.403969s
1664/6090, t=0.404003s
1665/6090, t=0.404036s
1666/6090, t=0.404069s
1667/6090, t=0.404103s
1668/6090, t=0.404136s
1669/6090, t=0.404169s
1670/6090, t=0.404203s
1671/6090, t=0.404236s
1672/6090, t=0.404269s
1673/6090, t=0.404303s
1674/6090, t=0.404336s
1675/6090, t=0.404369s
1676/6090, t=0.404403s
1677/6090, t=0.404436s
1678/6090, t=0.404469s
1679/6090, t=0.404503s
1680/6090, t=0.404536s
1681/6090, t=0.404569s
1682/6090, t=0.404603s
1683/6090, t=0.404636s
1684/6090, t=0.404669s
1685/6090, t=0.404703s
1686/6090, t=0.404736s
1687/6090, t=0.404769s
1688/6090, t=0.404803s
1689/6090, t=0.404836s
1690/6090, t=0.404869s
1691/6090, t=0.404903s
1692/6090, t=0.404936s
1693/6090, t=0.404969s
1694/6090, t=0.405003s
1695/6090, t=0.405036s
1696/6090, t=0.405069s
1697/6090, t=0.405103s
1698/6090, t=0.405136s
1699/6090, t=0.405169s
1700/6090, t=0.405203s
1701/6090, t=0.405236s
1702/6090, t=0.405269s
1703/6090, t=0.405303s
1704/6090, t=0.405336s
1705/6090, t=0.405369s
1706/6090, t=0.405403s
1707/6090, t=0.405436s
1708/6090, t=0.405469s
1709/6090, t=0.405503s
1710/6090, t=0.405536s
1711/6090, t=0.405569s
1712/6090, t=0.405603s
1713/6090, t=0.405636s
1714/6090, t=0.405669s
1715/6090, t=0.405703s
1716/6090, t=0.405736s
1717/6090, t=0.405769s
1718/6090, t=0.405803s
1719/6090, t=0.405836s
1720/6090, t=0.405869s
1721/6090, t=0.405903s
1722/6090, t=0.405936s
1723/6090, t=0.405969s
1724/6090, t=0.406003s
1725/6090, t=0.406036s
1726/6090, t=0.406069s
1727/6090, t=0.406103s
1728/6090, t=0.406136s
1729/6090, t=0.406169s
1730/6090, t=0.406203s
1731/6090, t=0.406236s
1732/6090, t=0.406269s
1733/6090, t=0.406303s
1734/6090, t=0.406336s
1735/6090, t=0.406369s
1736/6090, t=0.406403s
1737/6090, t=0.406436s
1738/6090, t=0.406469s
1739/6090, t=0.406503s
1740/6090, t=0.406536s
1741/6090, t=0.406569s
1742/6090, t=0.406603s
1743/6090, t=0.406636s
1744/6090, t=0.406669s
1745/6090, t=0.406703s
1746/6090, t=0.406736s
1747/6090, t=0.406769s
1748/6090, t=0.406803s
1749/6090, t=0.406836s
1750/6090, t=0.406869s
1751/6090, t=0.406903s
1752/6090, t=0.406936s
1753/6090, t=0.406969s
1754/6090, t=0.407003s
1755/6090, t=0.407036s
1756/6090, t=0.407069s
1757/6090, t=0.407103s
1758/6090, t=0.407136s
1759/6090, t=0.407169s
1760/6090, t=0.407203s
1761/6090, t=0.407236s
1762/6090, t=0.407269s
1763/6090, t=0.407303s
1764/6090, t=0.407336s
1765/6090, t=0.407369s
1766/6090, t=0.407403s
1767/6090, t=0.407436s
1768/6090, t=0.407469s
1769/6090, t=0.407503s
1770/6090, t=0.407536s
1771/6090, t=0.407569s
1772/6090, t=0.407603s
1773/6090, t=0.407636s
1774/6090, t=0.407669s
1775/6090, t=0.407703s
1776/6090, t=0.407736s
1777/6090, t=0.407769s
1778/6090, t=0.407803s
1779/6090, t=0.407836s
1780/6090, t=0.407869s
1781/6090, t=0.407903s
1782/6090, t=0.407936s
1783/6090, t=0.407969s
1784/6090, t=0.408003s
1785/6090, t=0.408036s
1786/6090, t=0.408069s
1787/6090, t=0.408103s
1788/6090, t=0.408136s
1789/6090, t=0.408169s
1790/6090, t=0.408203s
1791/6090, t=0.408236s
1792/6090, t=0.408269s
1793/6090, t=0.408303s
1794/6090, t=0.408336s
1795/6090, t=0.408369s
1796/6090, t=0.408403s
1797/6090, t=0.408436s
1798/6090, t=0.408469s
1799/6090, t=0.408503s
1800/6090, t=0.408536s
1801/6090, t=0.408569s
1802/6090, t=0.408603s
1803/6090, t=0.408636s
1804/6090, t=0.408669s
1805/6090, t=0.408703s
1806/6090, t=0.408736s
1807/6090, t=0.408769s
1808/6090, t=0.408803s
1809/6090, t=0.408836s
1810/6090, t=0.408869s
1811/6090, t=0.408903s
1812/6090, t=0.408936s
1813/6090, t=0.408969s
1814/6090, t=0.409003s
1815/6090, t=0.409036s
1816/6090, t=0.409069s
1817/6090, t=0.409103s
1818/6090, t=0.409136s
1819/6090, t=0.409169s
1820/6090, t=0.409203s
1821/6090, t=0.409236s
1822/6090, t=0.409269s
1823/6090, t=0.409303s
1824/6090, t=0.409336s
1825/6090, t=0.409369s
1826/6090, t=0.409403s
1827/6090, t=0.409436s
1828/6090, t=0.409469s
1829/6090, t=0.409503s
1830/6090, t=0.409536s
1831/6090, t=0.409569s
1832/6090, t=0.409603s
1833/6090, t=0.409636s
1834/6090, t=0.409669s
1835/6090, t=0.409703s
1836/6090, t=0.409736s
1837/6090, t=0.409769s
1838/6090, t=0.409803s
1839/6090, t=0.409836s
1840/6090, t=0.409869s
1841/6090, t=0.409903s
1842/6090, t=0.409936s
1843/6090, t=0.409969s
1844/6090, t=0.410003s
1845/6090, t=0.410036s
1846/6090, t=0.410069s
1847/6090, t=0.410103s
1848/6090, t=0.410136s
1849/6090, t=0.410169s
1850/6090, t=0.410203s
1851/6090, t=0.410236s
1852/6090, t=0.410269s
1853/6090, t=0.410303s
1854/6090, t=0.410336s
1855/6090, t=0.410369s
1856/6090, t=0.410403s
1857/6090, t=0.410436s
1858/6090, t=0.410469s
1859/6090, t=0.410503s
1860/6090, t=0.410536s
1861/6090, t=0.410569s
1862/6090, t=0.410603s
1863/6090, t=0.410636s
1864/6090, t=0.410669s
1865/6090, t=0.410703s
1866/6090, t=0.410736s
1867/6090, t=0.410769s
1868/6090, t=0.410803s
1869/6090, t=0.410836s
1870/6090, t=0.410869s
1871/6090, t=0.410903s
1872/6090, t=0.410936s
1873/6090, t=0.410969s
1874/6090, t=0.411003s
1875/6090, t=0.411036s
1876/6090, t=0.411069s
1877/6090, t=0.411103s
1878/6090, t=0.411136s
1879/6090, t=0.411169s
1880/6090, t=0.411203s
1881/6090, t=0.411236s
1882/6090, t=0.411269s
1883/6090, t=0.411303s
1884/6090, t=0.411336s
1885/6090, t=0.411369s
1886/6090, t=0.411403s
1887/6090, t=0.411436s
1888/6090, t=0.411469s
1889/6090, t=0.411503s
1890/6090, t=0.411536s
1891/6090, t=0.411569s
1892/6090, t=0.411603s
1893/6090, t=0.411636s
1894/6090, t=0.411669s
1895/6090, t=0.411703s
1896/6090, t=0.411736s
1897/6090, t=0.411769s
1898/6090, t=0.411803s
1899/6090, t=0.411836s
1900/6090, t=0.411869s
1901/6090, t=0.411903s
1902/6090, t=0.411936s
1903/6090, t=0.411969s
1904/6090, t=0.412003s
1905/6090, t=0.412036s
1906/6090, t=0.412069s
1907/6090, t=0.412103s
1908/6090, t=0.412136s
1909/6090, t=0.412169s
1910/6090, t=0.412203s
1911/6090, t=0.412236s
1912/6090, t=0.412269s
1913/6090, t=0.412303s
1914/6090, t=0.412336s
1915/6090, t=0.412369s
1916/6090, t=0.412403s
1917/6090, t=0.412436s
1918/6090, t=0.412469s
1919/6090, t=0.412503s
1920/6090, t=0.412536s
1921/6090, t=0.412569s
1922/6090, t=0.412603s
1923/6090, t=0.412636s
1924/6090, t=0.412669s
1925/6090, t=0.412703s
1926/6090, t=0.412736s
1927/6090, t=0.412769s
1928/6090, t=0.412803s
1929/6090, t=0.412836s
1930/6090, t=0.412869s
1931/6090, t=0.412903s
1932/6090, t=0.412936s
1933/6090, t=0.412969s
1934/6090, t=0.413003s
1935/6090, t=0.413036s
1936/6090, t=0.413069s
1937/6090, t=0.413103s
1938/6090, t=0.413136s
1939/6090, t=0.413169s
1940/6090, t=0.413203s
1941/6090, t=0.413236s
1942/6090, t=0.413269s
1943/6090, t=0.413303s
1944/6090, t=0.413336s
1945/6090, t=0.413369s
1946/6090, t=0.413403s
1947/6090, t=0.413436s
1948/6090, t=0.413469s
1949/6090, t=0.413503s
1950/6090, t=0.413536s
1951/6090, t=0.413569s
1952/6090, t=0.413603s
1953/6090, t=0.413636s
1954/6090, t=0.413669s
1955/6090, t=0.413703s
1956/6090, t=0.413736s
1957/6090, t=0.413769s
1958/6090, t=0.413803s
1959/6090, t=0.413836s
1960/6090, t=0.413869s
1961/6090, t=0.413903s
1962/6090, t=0.413936s
1963/6090, t=0.413969s
1964/6090, t=0.414003s
1965/6090, t=0.414036s
1966/6090, t=0.414069s
1967/6090, t=0.414103s
1968/6090, t=0.414136s
1969/6090, t=0.414169s
1970/6090, t=0.414203s
1971/6090, t=0.414236s
1972/6090, t=0.414269s
1973/6090, t=0.414303s
1974/6090, t=0.414336s
1975/6090, t=0.414369s
1976/6090, t=0.414403s
1977/6090, t=0.414436s
1978/6090, t=0.414469s
1979/6090, t=0.414503s
1980/6090, t=0.414536s
1981/6090, t=0.414569s
1982/6090, t=0.414603s
1983/6090, t=0.414636s
1984/6090, t=0.414669s
1985/6090, t=0.414703s
1986/6090, t=0.414736s
1987/6090, t=0.414769s
1988/6090, t=0.414803s
1989/6090, t=0.414836s
1990/6090, t=0.414869s
1991/6090, t=0.414903s
1992/6090, t=0.414936s
1993/6090, t=0.414969s
1994/6090, t=0.415003s
1995/6090, t=0.415036s
1996/6090, t=0.415069s
1997/6090, t=0.415103s
1998/6090, t=0.415136s
1999/6090, t=0.415169s
2000/6090, t=0.415203s
2001/6090, t=0.415236s
2002/6090, t=0.415269s
2003/6090, t=0.415303s
2004/6090, t=0.415336s
2005/6090, t=0.415369s
2006/6090, t=0.415403s
2007/6090, t=0.415436s
2008/6090, t=0.415469s
2009/6090, t=0.415503s
2010/6090, t=0.415536s
2011/6090, t=0.415569s
2012/6090, t=0.415603s
2013/6090, t=0.415636s
2014/6090, t=0.415669s
2015/6090, t=0.415703s
2016/6090, t=0.415736s
2017/6090, t=0.415769s
2018/6090, t=0.415803s
2019/6090, t=0.415836s
2020/6090, t=0.415869s
2021/6090, t=0.415903s
2022/6090, t=0.415936s
2023/6090, t=0.415969s
2024/6090, t=0.416003s
2025/6090, t=0.416036s
2026/6090, t=0.416069s
2027/6090, t=0.416103s
2028/6090, t=0.416136s
2029/6090, t=0.416169s
2030/6090, t=0.416203s
2031/6090, t=0.416236s
2032/6090, t=0.416269s
2033/6090, t=0.416303s
2034/6090, t=0.416336s
2035/6090, t=0.416369s
2036/6090, t=0.416403s
2037/6090, t=0.416436s
2038/6090, t=0.416469s
2039/6090, t=0.416503s
2040/6090, t=0.416536s
2041/6090, t=0.416569s
2042/6090, t=0.416603s
2043/6090, t=0.416636s
2044/6090, t=0.416669s
2045/6090, t=0.416703s
2046/6090, t=0.416736s
2047/6090, t=0.416769s
2048/6090, t=0.416803s
2049/6090, t=0.416836s
2050/6090, t=0.416869s
2051/6090, t=0.416903s
2052/6090, t=0.416936s
2053/6090, t=0.416969s
2054/6090, t=0.417003s
2055/6090, t=0.417036s
2056/6090, t=0.417069s
2057/6090, t=0.417103s
2058/6090, t=0.417136s
2059/6090, t=0.417169s
2060/6090, t=0.417203s
2061/6090, t=0.417236s
2062/6090, t=0.417269s
2063/6090, t=0.417303s
2064/6090, t=0.417336s
2065/6090, t=0.417369s
2066/6090, t=0.417403s
2067/6090, t=0.417436s
2068/6090, t=0.417469s
